POINTS,FIRST_NAME,LAST_NAME,CITY,STATE,LICENSE,AGE,GENDER,DISCIPLINE,CATEGORY
136.72,Alison,Powers,Pinecliffe,CO,98704,34,F,Road:RR,PR
137.09,Megan,Guarnier,Mountain View,CA,210981,28,F,Road:RR,PR
139.42,Carmen,Small,Durango,CO,229709,33,F,Road:RR,PR
141.05,Jade,Wilcoxson,Talent,OR,255887,35,F,Road:RR,PR
142.72,Andrea,Dvorak,Crozet,VA,190817,33,F,Road:RR,PR
144.53,Kristin,McGrath,Boise,ID,247577,31,F,Road:RR,PR
146.15,Lauren,Stephens,Dallas,TX,288678,27,F,Road:RR,PR
148.25,Mara,Abbott,Boulder,CO,198735,28,F,Road:RR,PR
149.57,Tayler,Wiles,Murray,UT,289582,24,F,Road:RR,PR
150.70,Lauren,Hall,Dolores,CO,262479,34,F,Road:RR,PR
151.48,Amber,Neben,Lake Forest,CA,116712,38,F,Road:RR,PR
153.24,Janel,Holcomb,San Diego,CA,255006,35,F,Road:RR,PR
154.63,Brianna,Walle,Beaverton,OR,353542,29,F,Road:RR,PR
155.99,Jacquelyn,Crowell,Maitland,FL,185441,25,F,Road:RR,PR
156.84,Robin,Farina,Smartsville,CA,205968,36,F,Road:RR,PR
157.36,Elizabeth,Newell,Oakland,CA,252152,31,F,Road:RR,PR
158.08,Kathryn,Donovan,Oxnard,CA,266674,31,F,Road:RR,PR
159.37,Shelley,Olds,Gilroy,CA,226087,33,F,Road:RR,PR
163.48,Amanda,Miller,Fort Collins,CO,228513,27,F,Road:RR,PR
166.27,Theresa,Cliff-Ryan,Cedar Springs,MI,231296,35,F,Road:RR,PR
169.88,Anna,Sanders,Phoenix,AZ,279796,32,F,Road:RR,PR
170.53,Ally,Stacher,Asheville,NC,258102,26,F,Road:RR,PR
172.10,Evelyn,Stevens,Dennis,MA,272861,30,F,Road:RR,PR
174.74,Alison,Tetrick,Mill Valley,CA,266806,28,F,Road:RR,PR
178.05,Maura,Kinsella,Santa Clara,CA,289951,22,F,Road:RR,PR
181.37,Mary,Zider,Billerica,MA,212025,29,F,Road:RR,PR
186.14,Jacqueline,Kurth,Palm City,FL,182253,22,F,Road:RR,PR
188.78,Heather,Fischer,Boulder,CO,308334,25,F,Road:RR,PR
188.89,Laura,Ralston,Cambridge,MA,289751,31,F,Road:RR,PR
188.94,Samantha,Schneider,Milwaukee,WI,170980,23,F,Road:RR,PR
189.70,Amber,Gaffney,Claremont,CA,349836,31,F,Road:RR,PR
194.39,Ruth,Winder,Lafayette,CA,273081,20,F,Road:RR,PR
196.93,Lauren,Tamayo,Asheville,NC,103456,30,F,Road:RR,PR
198.30,Emily,Kachorek,Sacramento,CA,167636,33,F,Road:RR,PR
198.60,Jessica,Cutler,Seattle,WA,158992,34,F,Road:RR,PR
199.18,Meredith,Miller,Boulder,CO,143575,40,F,Road:RR,PR
200.68,Jamie,Bookwalter,Asheville,NC,229620,27,F,Road:RR,PR
